id, name1, name2, name3, name4, name5, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
31,1,3,5,7,9,35/32,9/8,5/4,21/16,45/32,3/2,27/16,7/4,15/8,63/32,false,false,false,false,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0
47,1,3,5,7,11,33/32,35/32,77/64,5/4,21/16,11/8,3/2,55/32,7/4,15/8,false,false,false,false,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
55,1,3,5,9,11,33/32,9/8,5/4,11/8,45/32,3/2,99/64,27/16,55/32,15/8,false,false,false,false,10,1,1,1,0,1,1,0,0,0,0,0,0,0,0
59,1,3,7,9,11,33/32,9/8,77/64,21/16,11/8,3/2,99/64,27/16,7/4,63/32,false,false,false,false,10,1,1,0,1,1,1,0,0,0,0,0,0,0,0
61,1,5,7,9,11,35/32,9/8,77/64,5/4,11/8,45/32,99/64,55/32,7/4,63/32,false,false,false,false,10,1,0,1,1,1,1,0,0,0,0,0,0,0,0
62,3,5,7,9,11,33/32,35/32,77/64,21/16,45/32,99/64,27/16,55/32,15/8,63/32,false,false,false,false,10,0,1,1,1,1,1,0,0,0,0,0,0,0,0
79,1,3,5,7,13,65/64,35/32,39/32,5/4,21/16,91/64,3/2,13/8,7/4,15/8,false,false,false,false,10,1,1,1,1,0,0,1,0,0,0,0,0,0,0
87,1,3,5,9,13,65/64,9/8,39/32,5/4,45/32,3/2,13/8,27/16,117/64,15/8,false,false,false,false,10,1,1,1,0,1,0,1,0,0,0,0,0,0,0
91,1,3,7,9,13,9/8,39/32,21/16,91/64,3/2,13/8,27/16,7/4,117/64,63/32,false,false,false,false,10,1,1,0,1,1,0,1,0,0,0,0,0,0,0
93,1,5,7,9,13,65/64,35/32,9/8,5/4,45/32,91/64,13/8,7/4,117/64,63/32,false,false,false,false,10,1,0,1,1,1,0,1,0,0,0,0,0,0,0
94,3,5,7,9,13,65/64,35/32,39/32,21/16,45/32,91/64,27/16,117/64,15/8,63/32,false,false,false,false,10,0,1,1,1,1,0,1,0,0,0,0,0,0,0
103,1,3,5,11,13,65/64,33/32,143/128,39/32,5/4,11/8,3/2,13/8,55/32,15/8,false,false,false,false,10,1,1,1,0,0,1,1,0,0,0,0,0,0,0
107,1,3,7,11,13,33/32,143/128,77/64,39/32,21/16,11/8,91/64,3/2,13/8,7/4,false,false,false,false,10,1,1,0,1,0,1,1,0,0,0,0,0,0,0
109,1,5,7,11,13,65/64,35/32,143/128,77/64,5/4,11/8,91/64,13/8,55/32,7/4,false,false,false,false,10,1,0,1,1,0,1,1,0,0,0,0,0,0,0
110,3,5,7,11,13,65/64,33/32,35/32,143/128,77/64,39/32,21/16,91/64,55/32,15/8,false,false,false,false,10,0,1,1,1,0,1,1,0,0,0,0,0,0,0
115,1,3,9,11,13,33/32,143/128,9/8,39/32,11/8,3/2,99/64,13/8,27/16,117/64,false,false,false,false,10,1,1,0,0,1,1,1,0,0,0,0,0,0,0
117,1,5,9,11,13,65/64,143/128,9/8,5/4,11/8,45/32,99/64,13/8,55/32,117/64,false,false,false,false,10,1,0,1,0,1,1,1,0,0,0,0,0,0,0
118,3,5,9,11,13,65/64,33/32,143/128,39/32,45/32,99/64,27/16,55/32,117/64,15/8,false,false,false,false,10,0,1,1,0,1,1,1,0,0,0,0,0,0,0
121,1,7,9,11,13,143/128,9/8,77/64,11/8,91/64,99/64,13/8,7/4,117/64,63/32,false,false,false,false,10,1,0,0,1,1,1,1,0,0,0,0,0,0,0
122,3,7,9,11,13,33/32,143/128,77/64,39/32,21/16,91/64,99/64,27/16,117/64,63/32,false,false,false,false,10,0,1,0,1,1,1,1,0,0,0,0,0,0,0
124,5,7,9,11,13,65/64,35/32,143/128,77/64,45/32,91/64,99/64,55/32,117/64,63/32,false,false,false,false,10,0,0,1,1,1,1,1,0,0,0,0,0,0,0
143,1,3,5,7,15,35/32,75/64,5/4,21/16,45/32,3/2,105/64,7/4,15/8,null/null,false,false,true,true,9,1,1,1,1,0,0,0,1,0,0,0,0,0,0
151,1,3,5,9,15,135/128,9/8,75/64,5/4,45/32,3/2,27/16,15/8,null/null,null/null,false,false,false,false,8,1,1,1,0,1,0,0,1,0,0,0,0,0,0
155,1,3,7,9,15,135/128,9/8,21/16,45/32,3/2,105/64,27/16,7/4,15/8,63/32,false,false,false,false,10,1,1,0,1,1,0,0,1,0,0,0,0,0,0
157,1,5,7,9,15,135/128,35/32,9/8,75/64,5/4,45/32,105/64,7/4,15/8,63/32,false,false,false,false,10,1,0,1,1,1,0,0,1,0,0,0,0,0,0
158,3,5,7,9,15,135/128,35/32,75/64,21/16,45/32,105/64,27/16,15/8,63/32,null/null,false,false,false,false,9,0,1,1,1,1,0,0,1,0,0,0,0,0,0
167,1,3,5,11,15,33/32,75/64,5/4,165/128,11/8,45/32,3/2,55/32,15/8,null/null,false,false,false,false,9,1,1,1,0,0,1,0,1,0,0,0,0,0,0
171,1,3,7,11,15,33/32,77/64,165/128,21/16,11/8,45/32,3/2,105/64,7/4,15/8,false,false,false,false,10,1,1,0,1,0,1,0,1,0,0,0,0,0,0
173,1,5,7,11,15,35/32,75/64,77/64,5/4,165/128,11/8,105/64,55/32,7/4,15/8,false,false,false,false,10,1,0,1,1,0,1,0,1,0,0,0,0,0,0
174,3,5,7,11,15,33/32,35/32,75/64,77/64,165/128,21/16,45/32,105/64,55/32,15/8,false,false,false,false,10,0,1,1,1,0,1,0,1,0,0,0,0,0,0
179,1,3,9,11,15,33/32,135/128,9/8,165/128,11/8,45/32,3/2,99/64,27/16,15/8,false,false,false,false,10,1,1,0,0,1,1,0,1,0,0,0,0,0,0
181,1,5,9,11,15,135/128,9/8,75/64,5/4,165/128,11/8,45/32,99/64,55/32,15/8,false,false,false,false,10,1,0,1,0,1,1,0,1,0,0,0,0,0,0
182,3,5,9,11,15,33/32,135/128,75/64,165/128,45/32,99/64,27/16,55/32,15/8,null/null,false,false,false,false,9,0,1,1,0,1,1,0,1,0,0,0,0,0,0
185,1,7,9,11,15,135/128,9/8,77/64,165/128,11/8,99/64,105/64,7/4,15/8,63/32,false,false,false,false,10,1,0,0,1,1,1,0,1,0,0,0,0,0,0
186,3,7,9,11,15,33/32,135/128,77/64,165/128,21/16,45/32,99/64,105/64,27/16,63/32,false,false,false,false,10,0,1,0,1,1,1,0,1,0,0,0,0,0,0
188,5,7,9,11,15,135/128,35/32,75/64,77/64,165/128,45/32,99/64,105/64,55/32,63/32,false,false,false,false,10,0,0,1,1,1,1,0,1,0,0,0,0,0,0
199,1,3,5,13,15,65/64,75/64,39/32,5/4,45/32,3/2,195/128,13/8,15/8,null/null,false,false,false,false,9,1,1,1,0,0,0,1,1,0,0,0,0,0,0
203,1,3,7,13,15,39/32,21/16,45/32,91/64,3/2,195/128,13/8,105/64,7/4,15/8,false,false,false,false,10,1,1,0,1,0,0,1,1,0,0,0,0,0,0
205,1,5,7,13,15,65/64,35/32,75/64,5/4,91/64,195/128,13/8,105/64,7/4,15/8,false,false,false,false,10,1,0,1,1,0,0,1,1,0,0,0,0,0,0
206,3,5,7,13,15,65/64,35/32,75/64,39/32,21/16,45/32,91/64,195/128,105/64,15/8,false,false,false,true,10,0,1,1,1,0,0,1,1,0,0,0,0,0,0
211,1,3,9,13,15,135/128,9/8,39/32,45/32,3/2,195/128,13/8,27/16,117/64,15/8,false,false,false,false,10,1,1,0,0,1,0,1,1,0,0,0,0,0,0
213,1,5,9,13,15,65/64,135/128,9/8,75/64,5/4,45/32,195/128,13/8,117/64,15/8,false,false,false,false,10,1,0,1,0,1,0,1,1,0,0,0,0,0,0
214,3,5,9,13,15,65/64,135/128,75/64,39/32,45/32,195/128,27/16,117/64,15/8,null/null,false,false,false,false,9,0,1,1,0,1,0,1,1,0,0,0,0,0,0
217,1,7,9,13,15,135/128,9/8,91/64,195/128,13/8,105/64,7/4,117/64,15/8,63/32,false,false,false,false,10,1,0,0,1,1,0,1,1,0,0,0,0,0,0
218,3,7,9,13,15,135/128,39/32,21/16,45/32,91/64,195/128,105/64,27/16,117/64,63/32,false,false,false,false,10,0,1,0,1,1,0,1,1,0,0,0,0,0,0
220,5,7,9,13,15,65/64,135/128,35/32,75/64,45/32,91/64,195/128,105/64,117/64,63/32,false,false,false,false,10,0,0,1,1,1,0,1,1,0,0,0,0,0,0
227,1,3,11,13,15,33/32,143/128,39/32,165/128,11/8,45/32,3/2,195/128,13/8,15/8,false,false,false,false,10,1,1,0,0,0,1,1,1,0,0,0,0,0,0
229,1,5,11,13,15,65/64,143/128,75/64,5/4,165/128,11/8,195/128,13/8,55/32,15/8,false,false,false,false,10,1,0,1,0,0,1,1,1,0,0,0,0,0,0
230,3,5,11,13,15,65/64,33/32,143/128,75/64,39/32,165/128,45/32,195/128,55/32,15/8,false,false,false,false,10,0,1,1,0,0,1,1,1,0,0,0,0,0,0
