id, name1, name2, name3, name4, note1, note2, note3, note4, note5, note 6, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
15,1,3,5,7,35/32,5/4,21/16,3/2,7/4,15/8,true,true,false,false,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0
23,1,3,5,9,9/8,5/4,45/32,3/2,27/16,15/8,true,false,true,true,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0
27,1,3,7,9,9/8,21/16,3/2,27/16,7/4,63/32,false,false,false,false,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0
29,1,5,7,9,35/32,9/8,5/4,45/32,7/4,63/32,false,true,false,false,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0
30,3,5,7,9,35/32,21/16,45/32,27/16,15/8,63/32,false,true,false,false,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0
39,1,3,5,11,33/32,5/4,11/8,3/2,55/32,15/8,false,true,false,false,6,1,1,1,0,0,1,0,0,0,0,0,0,0,0
43,1,3,7,11,33/32,77/64,21/16,11/8,3/2,7/4,false,true,false,false,6,1,1,0,1,0,1,0,0,0,0,0,0,0,0
45,1,5,7,11,35/32,77/64,5/4,11/8,55/32,7/4,false,true,false,false,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0
46,3,5,7,11,33/32,35/32,77/64,21/16,55/32,15/8,false,true,false,false,6,0,1,1,1,0,1,0,0,0,0,0,0,0,0
51,1,3,9,11,33/32,9/8,11/8,3/2,99/64,27/16,false,true,false,false,6,1,1,0,0,1,1,0,0,0,0,0,0,0,0
53,1,5,9,11,9/8,5/4,11/8,45/32,99/64,55/32,false,true,false,false,6,1,0,1,0,1,1,0,0,0,0,0,0,0,0
54,3,5,9,11,33/32,45/32,99/64,27/16,55/32,15/8,false,true,false,false,6,0,1,1,0,1,1,0,0,0,0,0,0,0,0
57,1,7,9,11,9/8,77/64,11/8,99/64,7/4,63/32,true,true,false,false,6,1,0,0,1,1,1,0,0,0,0,0,0,0,0
58,3,7,9,11,33/32,77/64,21/16,99/64,27/16,63/32,true,true,false,true,6,0,1,0,1,1,1,0,0,0,0,0,0,0,0
60,5,7,9,11,35/32,77/64,45/32,99/64,55/32,63/32,true,true,false,false,6,0,0,1,1,1,1,0,0,0,0,0,0,0,0
71,1,3,5,13,65/64,39/32,5/4,3/2,13/8,15/8,true,true,false,false,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0
75,1,3,7,13,39/32,21/16,91/64,3/2,13/8,7/4,false,true,false,false,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0
77,1,5,7,13,65/64,35/32,5/4,91/64,13/8,7/4,true,true,false,true,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0
78,3,5,7,13,65/64,35/32,39/32,21/16,91/64,15/8,false,true,false,false,6,0,1,1,1,0,0,1,0,0,0,0,0,0,0
83,1,3,9,13,9/8,39/32,3/2,13/8,27/16,117/64,false,true,false,false,6,1,1,0,0,1,0,1,0,0,0,0,0,0,0
85,1,5,9,13,65/64,9/8,5/4,45/32,13/8,117/64,true,true,false,false,6,1,0,1,0,1,0,1,0,0,0,0,0,0,0
86,3,5,9,13,65/64,39/32,45/32,27/16,117/64,15/8,false,true,false,false,6,0,1,1,0,1,0,1,0,0,0,0,0,0,0
89,1,7,9,13,9/8,91/64,13/8,7/4,117/64,63/32,false,true,false,false,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0
90,3,7,9,13,39/32,21/16,91/64,27/16,117/64,63/32,false,true,false,true,6,0,1,0,1,1,0,1,0,0,0,0,0,0,0
92,5,7,9,13,65/64,35/32,45/32,91/64,117/64,63/32,false,true,false,true,6,0,0,1,1,1,0,1,0,0,0,0,0,0,0
99,1,3,11,13,33/32,143/128,39/32,11/8,3/2,13/8,false,true,false,false,6,1,1,0,0,0,1,1,0,0,0,0,0,0,0
101,1,5,11,13,65/64,143/128,5/4,11/8,13/8,55/32,true,true,false,false,6,1,0,1,0,0,1,1,0,0,0,0,0,0,0
102,3,5,11,13,65/64,33/32,143/128,39/32,55/32,15/8,false,true,false,false,6,0,1,1,0,0,1,1,0,0,0,0,0,0,0
105,1,7,11,13,143/128,77/64,11/8,91/64,13/8,7/4,false,true,false,true,6,1,0,0,1,0,1,1,0,0,0,0,0,0,0
