id, name1, name2, name3, name4, name5, name6, note1, note2, note3, note4, note5, note 6, note7, note8, note9, note10, note11, note12, note13, note14, note15, isProper, isCS, isProperWithOrigin, isCSWithOrigin, scaleSize, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27
63,1,3,5,7,9,11,33/32,35/32,9/8,77/64,5/4,21/16,11/8,45/32,3/2,99/64,27/16,55/32,7/4,15/8,63/32,false,false,false,false,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0
95,1,3,5,7,9,13,65/64,35/32,9/8,39/32,5/4,21/16,45/32,91/64,3/2,13/8,27/16,7/4,117/64,15/8,63/32,false,false,false,false,15,1,1,1,1,1,0,1,0,0,0,0,0,0,0
111,1,3,5,7,11,13,65/64,33/32,35/32,143/128,77/64,39/32,5/4,21/16,11/8,91/64,3/2,13/8,55/32,7/4,15/8,false,false,false,false,15,1,1,1,1,0,1,1,0,0,0,0,0,0,0
119,1,3,5,9,11,13,65/64,33/32,143/128,9/8,39/32,5/4,11/8,45/32,3/2,99/64,13/8,27/16,55/32,117/64,15/8,false,false,false,false,15,1,1,1,0,1,1,1,0,0,0,0,0,0,0
123,1,3,7,9,11,13,33/32,143/128,9/8,77/64,39/32,21/16,11/8,91/64,3/2,99/64,13/8,27/16,7/4,117/64,63/32,false,false,false,false,15,1,1,0,1,1,1,1,0,0,0,0,0,0,0
125,1,5,7,9,11,13,65/64,35/32,143/128,9/8,77/64,5/4,11/8,45/32,91/64,99/64,13/8,55/32,7/4,117/64,63/32,false,false,false,false,15,1,0,1,1,1,1,1,0,0,0,0,0,0,0
126,3,5,7,9,11,13,65/64,33/32,35/32,143/128,77/64,39/32,21/16,45/32,91/64,99/64,27/16,55/32,117/64,15/8,63/32,false,false,false,false,15,0,1,1,1,1,1,1,0,0,0,0,0,0,0
159,1,3,5,7,9,15,135/128,35/32,9/8,75/64,5/4,21/16,45/32,3/2,105/64,27/16,7/4,15/8,63/32,null/null,null/null,false,false,false,false,13,1,1,1,1,1,0,0,1,0,0,0,0,0,0
175,1,3,5,7,11,15,33/32,35/32,75/64,77/64,5/4,165/128,21/16,11/8,45/32,3/2,105/64,55/32,7/4,15/8,null/null,false,false,false,false,14,1,1,1,1,0,1,0,1,0,0,0,0,0,0
183,1,3,5,9,11,15,33/32,135/128,9/8,75/64,5/4,165/128,11/8,45/32,3/2,99/64,27/16,55/32,15/8,null/null,null/null,false,false,false,false,13,1,1,1,0,1,1,0,1,0,0,0,0,0,0
187,1,3,7,9,11,15,33/32,135/128,9/8,77/64,165/128,21/16,11/8,45/32,3/2,99/64,105/64,27/16,7/4,15/8,63/32,false,false,false,false,15,1,1,0,1,1,1,0,1,0,0,0,0,0,0
189,1,5,7,9,11,15,135/128,35/32,9/8,75/64,77/64,5/4,165/128,11/8,45/32,99/64,105/64,55/32,7/4,15/8,63/32,false,false,false,false,15,1,0,1,1,1,1,0,1,0,0,0,0,0,0
190,3,5,7,9,11,15,33/32,135/128,35/32,75/64,77/64,165/128,21/16,45/32,99/64,105/64,27/16,55/32,15/8,63/32,null/null,false,false,false,false,14,0,1,1,1,1,1,0,1,0,0,0,0,0,0
207,1,3,5,7,13,15,65/64,35/32,75/64,39/32,5/4,21/16,45/32,91/64,3/2,195/128,13/8,105/64,7/4,15/8,null/null,false,false,false,false,14,1,1,1,1,0,0,1,1,0,0,0,0,0,0
215,1,3,5,9,13,15,65/64,135/128,9/8,75/64,39/32,5/4,45/32,3/2,195/128,13/8,27/16,117/64,15/8,null/null,null/null,false,false,false,false,13,1,1,1,0,1,0,1,1,0,0,0,0,0,0
219,1,3,7,9,13,15,135/128,9/8,39/32,21/16,45/32,91/64,3/2,195/128,13/8,105/64,27/16,7/4,117/64,15/8,63/32,false,false,false,false,15,1,1,0,1,1,0,1,1,0,0,0,0,0,0
221,1,5,7,9,13,15,65/64,135/128,35/32,9/8,75/64,5/4,45/32,91/64,195/128,13/8,105/64,7/4,117/64,15/8,63/32,false,false,false,false,15,1,0,1,1,1,0,1,1,0,0,0,0,0,0
222,3,5,7,9,13,15,65/64,135/128,35/32,75/64,39/32,21/16,45/32,91/64,195/128,105/64,27/16,117/64,15/8,63/32,null/null,false,false,false,false,14,0,1,1,1,1,0,1,1,0,0,0,0,0,0
231,1,3,5,11,13,15,65/64,33/32,143/128,75/64,39/32,5/4,165/128,11/8,45/32,3/2,195/128,13/8,55/32,15/8,null/null,false,false,false,false,14,1,1,1,0,0,1,1,1,0,0,0,0,0,0
235,1,3,7,11,13,15,33/32,143/128,77/64,39/32,165/128,21/16,11/8,45/32,91/64,3/2,195/128,13/8,105/64,7/4,15/8,false,false,false,false,15,1,1,0,1,0,1,1,1,0,0,0,0,0,0
237,1,5,7,11,13,15,65/64,35/32,143/128,75/64,77/64,5/4,165/128,11/8,91/64,195/128,13/8,105/64,55/32,7/4,15/8,false,false,false,false,15,1,0,1,1,0,1,1,1,0,0,0,0,0,0
238,3,5,7,11,13,15,65/64,33/32,35/32,143/128,75/64,77/64,39/32,165/128,21/16,45/32,91/64,195/128,105/64,55/32,15/8,false,false,false,false,15,0,1,1,1,0,1,1,1,0,0,0,0,0,0
243,1,3,9,11,13,15,33/32,135/128,143/128,9/8,39/32,165/128,11/8,45/32,3/2,195/128,99/64,13/8,27/16,117/64,15/8,false,false,false,false,15,1,1,0,0,1,1,1,1,0,0,0,0,0,0
